Month,Java,JavaScript,PHP,Python,MySQL,SQL,C++,C,PostgreSQL
2015-07,100,12,40,15,69,67,37,41,9
2015-08,84,13,43,16,86,77,44,40,11
2015-09,83,14,45,19,92,81,71,49,11
2015-10,85,15,46,19,97,87,100,54,11
2015-11,86,16,51,20,100,94,88,49,10
2015-12,91,15,48,19,98,79,66,47,11
2016-01,78,12,43,17,80,67,52,39,8
2016-02,73,14,44,17,80,62,51,37,10
2016-03,77,13,42,18,82,69,68,43,9
2016-04,71,13,43,19,82,71,61,40,9
2016-05,71,13,41,18,84,65,57,39,8
2016-06,75,13,40,17,73,63,43,32,9
2016-07,63,9,31,17,40,41,26,34,7
2016-08,54,12,36,17,63,54,38,34,8
2016-09,54,12,37,20,63,56,57,40,9
2016-10,60,13,38,18,74,66,92,45,11
2016-11,56,13,41,23,86,74,69,41,12
2016-12,51,12,35,21,71,62,58,37,11
2017-01,48,13,37,23,75,65,49,36,11
2017-02,48,14,37,22,73,67,47,34,12
2017-03,47,12,35,23,74,68,61,35,11
2017-04,46,13,35,27,73,63,65,33,10
2017-05,46,13,37,24,74,63,51,29,10
2017-06,43,10,30,21,53,46,45,31,8
2017-07,42,12,30,21,57,49,30,29,10
2017-08,44,13,32,23,64,60,38,28,11
2017-09,44,12,32,27,59,55,54,34,11
2017-10,45,13,34,28,71,68,85,38,14
2017-11,45,14,35,28,79,73,75,35,13
2017-12,37,13,32,26,68,59,56,33,10
2018-01,39,12,32,24,68,60,43,24,12
2018-02,31,13,31,28,60,59,45,11,12
2018-03,26,13,30,28,64,69,50,14,12
2018-04,26,13,31,28,64,62,53,12,11
2018-05,24,13,30,27,63,58,46,11,11
2018-06,19,10,22,21,41,37,25,6,7
2018-07,20,12,29,25,56,58,30,6,11
2018-08,20,13,29,26,57,59,33,11,12
2018-09,21,13,29,30,56,61,59,16,11
2018-10,19,14,31,40,63,70,85,18,14
2018-11,17,14,31,37,66,68,77,28,14
2018-12,23,14,29,28,58,64,59,33,11
2019-01,20,14,31,31,60,64,46,32,11
2019-02,20,15,28,34,53,55,45,31,13
2019-03,18,13,29,41,61,66,55,34,13
2019-04,19,12,29,42,58,63,53,34,11
2019-05,20,15,29,42,61,65,47,31,13
2019-06,17,13,24,37,45,53,33,28,11
2019-07,19,17,30,52,70,74,36,27,17
2019-08,19,16,29,47,61,71,35,26,16
2019-09,22,16,29,57,64,71,81,32,17
2019-10,22,16,30,58,67,72,100,35,17
2019-11,21,16,28,59,70,72,86,35,16
2019-12,18,13,26,48,57,67,57,30,13
2020-01,18,15,27,47,59,64,57,25,15
2020-02,17,16,28,54,54,67,48,27,17
2020-03,18,15,24,51,54,57,60,31,14
2020-04,16,14,22,51,51,49,54,30,12
2020-05,15,14,20,50,42,52,46,28,12
2020-06,16,15,22,49,51,53,41,26,13
2020-07,14,15,23,44,46,52,31,25,13
2020-08,12,12,20,39,37,39,25,25,12
2020-09,13,14,19,46,37,46,35,28,12
2020-10,13,11,19,46,30,38,46,30,9
2020-11,13,11,19,46,37,40,44,30,9
2020-12,12,11,18,42,33,36,42,29,8
2021-01,10,12,18,38,31,38,35,25,9
2021-02,11,12,18,39,31,36,32,29,9
2021-03,12,11,18,43,34,39,36,30,9
2021-04,11,12,18,47,32,42,38,24,10
2021-05,10,11,16,39,31,33,29,23,9
2021-06,11,12,18,47,35,42,33,28,11
2021-07,10,12,17,43,30,34,24,21,9
2021-08,9,11,16,38,22,31,23,25,8
2021-09,11,12,16,45,31,37,33,32,10
2021-10,12,12,16,52,32,37,41,35,10
2021-11,13,13,17,54,36,43,44,36,10
2021-12,11,13,16,44,37,42,35,32,10
2022-01,14,23,23,70,60,68,54,32,17
2022-02,14,24,23,74,53,62,53,34,20
2022-03,18,26,25,95,64,74,80,40,20
2022-04,17,25,24,89,62,72,66,32,20
2022-05,14,19,21,68,52,54,52,30,19
2022-06,15,25,26,77,66,73,51,30,20
2022-07,13,24,23,73,57,66,33,23,20
2022-08,12,23,21,65,51,64,36,29,19
2022-09,16,22,22,88,57,71,66,39,20
2022-10,18,24,24,100,61,71,85,42,21
2022-11,18,24,21,92,59,75,82,45,20
2022-12,15,22,21,88,56,66,61,34,19
2023-01,13,21,21,76,55,65,51,34,20
2023-02,14,22,21,83,50,64,51,39,22
2023-03,14,22,20,85,53,67,61,45,20
2023-04,12,16,16,56,36,44,36,31,15
2023-05,14,19,18,74,52,56,49,49,19
2023-06,12,20,19,65,51,55,35,35,22
2023-07,12,19,20,60,46,57,28,23,20
2023-08,11,20,19,64,45,56,39,26,18
2023-09,13,21,17,71,44,55,61,34,18
2023-10,14,21,18,78,51,61,66,36,19
2023-11,13,20,18,75,50,60,64,35,21
2023-12,12,18,17,62,45,52,39,30,18
2024-01,12,19,18,64,45,55,34,26,20
2024-02,13,20,18,80,43,56,38,31,23
2024-03,14,19,18,81,45,58,43,34,23
2024-04,13,16,14,61,35,44,36,33,18
2024-05,15,21,18,73,48,62,45,35,22
2024-06,16,20,18,67,50,58,31,32,21
2024-07,15,21,19,66,45,61,29,28,24
2024-08,13,20,17,61,37,55,44,32,24
2024-09,14,18,16,73,36,50,63,38,22
2024-10,13,18,16,86,43,54,69,41,23
