programming language,github user count
Java,6800
JavaScript,11400
Dart,877
Node.js,-1
PHP,8600
Visual Basic,0
MySQL,-1
TypeScript,1600
SQL,6
PostgreSQL,-1
Flow,-1
CHAIN,-1
Z++,-1
FOCUS,-1
Python,6100
kernel,-1
Address,-1
ASP.NET,8
C#,1200
JS++,-1
C,1200
GraphQL,-1
Go,1000
Ada,0
Ruby,1100
MariaDB,-1
Scheme,1
Expect,-1
Copilot,-1
Solidity,78
solid,-1
pipelines,-1
RAPID,-1
NPL,-1
april,-1
flagship,-1
Swift,271
Small,-1
Kotlin,1100
Simplicity,-1
Perl,42
C++,2500
Scratch,-1
R,301
F,-1
Rust,101
Groovy,44
Scala,16
Revolution,-1
MATLAB,109
Apex,-1
Click,0
Adept,-1
.QL,-1
dss,-1
SPARK,-1
Pure,5
GAP,-1
Falcon,-1
Alpha,-1
Plot,-1
Joy,-1
CONVERT,-1
Frank,-1
P,-1
lever,-1
JADE,-1
Blue,-1
THINK C,-1
Inform,-1
NATURAL,-1
Reason,-1
ARM,-1
SR,-1
Crystal,9
PowerHouse,-1
Conceptual,-1
Factor,0
False,-1
RPL,-1
SQLite,-1
fe,-1
Chrome,-1
Tao,-1
Flavors,-1
Cyber,-1
Bash,-1
DEMOS,-1
Q,-1
PROMETHEUS,-1
Gist,-1
PILOT,-1
REDUCE,-1
Monkey,-1
Z,-1
abs,-1
FaCT,-1
MACRO,-1
FLUX,0
ECMAScript,-1
Argus,-1
Assembly,48
PowerShell,46
Visual FoxPro,-1
FoxPRO,-1
Delphi,-1
SCM,-1
Red,0
MetaL,0
SaltStack,0
bamboo,-1
Mercury,0
UNITY,-1
Arduino,-1
SAS,1
SPSS,-1
SIGNAL,-1
Spatial,-1
AL,-1
jasper,-1
PowerBuilder,0
SRL,-1
Logos,-1
Virgil,-1
Dale,-1
LUCID,-1
CUDA,0
LINQ,-1
JOVIAL,-1
APL,0
BASIC A+,-1
Cell,-1
MIMIC,-1
Charity,-1
Meson,0
DYNAMO,-1
Haskell,40
PLANNER,-1
Gherkin,0
Objective-C,132
frame,-1
Tea,-1
Sqlalchemy,-1
Erlang,9
Sage,-1
Lisp,1
Lua,145
F#,2
bloom,-1
score,-1
HL7,-1
VBA,-1
ActionScript,19
Elixir,17
MAPPER,-1
Boo,0
Pan,0
l2,-1
Augment,-1
FP,-1
Vale,-1
candor,-1
Stata,-1
Arc,0
DML,-1
IPL,-1
XL,-1
Star,-1
fox,-1
LEAP,-1
Dockerfile,99
Dc,-1
VBScript,-1
CORAL,-1
UniVerse,-1
C2,-1
