programming language,search count Oct 2024
.QL,0
AL,0
APL,0
ARM,0
ASP.NET,6
ActionScript,1
Ada,0
Address,0
Adept,0
Alpha,0
Apex,0
Arc,0
Arduino,86
Argus,0
Assembly,54
Augment,0
BASIC A+,0
Bash,0
Blue,0
Boo,9
C,41
C#,34
C++,69
C2,0
CHAIN,0
CONVERT,0
CORAL,0
CUDA,0
Cell,0
Charity,0
Chrome,0
Click,0
Conceptual,0
Copilot,0
Crystal,0
Cyber,0
DEMOS,0
DML,40
DYNAMO,0
Dale,0
Dart,0
Dc,0
Delphi,0
Dockerfile,26
ECMAScript,1
Elixir,0
Erlang,18
Expect,0
F,0
F#,0
FLUX,0
FOCUS,0
FP,0
FaCT,0
Factor,0
Falcon,0
False,0
Flavors,0
Flow,0
FoxPRO,1
Frank,0
GAP,0
Gherkin,0
Gist,0
Go,30
GraphQL,1
Groovy,1
HL7,0
Haskell,6
IPL,0
Inform,0
JADE,0
JOVIAL,0
JS++,0
Java,13
JavaScript,18
Joy,0
Kotlin,11
LEAP,0
LINQ,0
LUCID,0
Lisp,8
Logos,0
Lua,22
MACRO,0
MAPPER,0
MATLAB,48
MIMIC,0
MariaDB,78
Mercury,0
Meson,0
MetaL,0
Monkey,0
MySQL,43
NATURAL,0
NPL,0
Node.js,4
Objective-C,4
P,0
PHP,16
PILOT,0
PLANNER,0
PROMETHEUS,0
Pan,0
Perl,1
Plot,0
PostgreSQL,23
PowerBuilder,0
PowerHouse,0
PowerShell,38
Pure,0
Python,86
Q,0
R,35
RAPID,0
REDUCE,0
RPL,0
Reason,0
Red,0
Revolution,0
Ruby,2
Rust,6
SAS,0
SCM,0
SIGNAL,0
SPARK,0
SPSS,0
SQL,54
SQLite,33
SR,0
SRL,2
Sage,0
SaltStack,0
Scala,2
Scheme,0
Scratch,60
Simplicity,0
Small,0
Solidity,10
Spatial,0
Sqlalchemy,17
Star,0
Stata,27
Swift,0
THINK C,0
Tao,0
Tea,0
TypeScript,10
UNITY,29
UniVerse,0
VBA,50
VBScript,11
Vale,0
Virgil,0
Visual Basic,7
Visual FoxPro,2
XL,0
Z,0
Z++,0
abs,0
april,0
bamboo,0
bloom,0
candor,0
dss,0
fe,0
flagship,0
fox,0
frame,0
jasper,0
kernel,27
l2,0
lever,0
pipelines,0
score,0
solid,0
